Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
UT_001_S1_L001_R1_001_val_1	64080150.0	4293620.0	73.0	12987465.0	38593313.0	183878518.0	8252316.0	83.62706924636605	1.5	1.4	80.7	0.0	0.0	directional	45185874.0	18894203.0	3878121566.0	76626086.0	855848196.0	2742944197.0	43869877.0
UT_002_S2_L001_R1_001_val_1	72037517.0	5003169.0	52.0	14775479.0	43233541.0	211804894.0	11311158.0	81.53482003160002	1.5	1.4	80.4	0.0	0.0	directional	52143762.0	19893703.0	4365438199.0	88351844.0	973049086.0	3070848982.0	51726217.0
UT_003_S3_L001_R1_001_val_1	82906069.0	5474364.0	82.0	16908074.0	49577724.0	244907419.0	11963884.0	82.62158882400884	1.5	1.4	81.1	0.0	0.0	directional	59451287.0	23454700.0	5036610143.0	100344317.0	1123267685.0	3544966774.0	56982467.0
UT_004_S4_L001_R1_001_val_1	55482935.0	3688020.0	61.0	11356016.0	33084494.0	164342020.0	7706609.0	82.96195567171077	1.5	1.4	81.3	0.0	0.0	directional	39910460.0	15572414.0	3366291088.0	66877564.0	750454367.0	2369350828.0	37703363.0
UT_005_S5_L001_R1_001_val_1	63837349.0	4188776.0	31.0	12938985.0	38081864.0	186776773.0	8401576.0	83.52645462932347	1.5	1.4	81.1	0.0	0.0	directional	46212582.0	17624736.0	3893463152.0	76427701.0	864050364.0	2748072344.0	43542822.0
UT_006_S6_L001_R1_001_val_1	63032906.0	4156389.0	32.0	12690322.0	37382839.0	182832083.0	8406773.0	83.38119649291812	1.5	1.4	81.0	0.0	0.0	directional	45059822.0	17973052.0	3819309714.0	75596068.0	847246503.0	2696168042.0	42989925.0
UT_007_S7_L001_R1_001_val_1	61408087.0	3829392.0	75.0	12486917.0	36707539.0	179062539.0	7532196.0	84.38691941389047	1.5	1.4	80.5	0.0	0.0	directional	44765025.0	16642987.0	3750306202.0	72769675.0	832756075.0	2645947625.0	43345507.0
UT_008_S8_L001_R1_001_val_1	61705146.0	3942968.0	8.0	12706931.0	36829359.0	185239287.0	7252210.0	84.64317113323118	1.5	1.4	81.4	0.0	0.0	directional	45300203.0	16404935.0	3775115039.0	72900324.0	844645028.0	2653495376.0	42199058.0
UT_009_S9_L001_R1_001_val_1	78363773.0	5283153.0	58.0	16473853.0	48267471.0	234890528.0	10462040.0	83.26918925025699	1.5	1.4	80.3	0.0	0.0	directional	57049355.0	21314360.0	4790093952.0	94108966.0	1068779499.0	3364157170.0	57525431.0
UT_010_S10_L001_R1_001_val_1	72115516.0	4627747.0	38.0	14493418.0	42781462.0	209424838.0	8770408.0	84.33214848184917	1.5	1.4	81.4	0.0	0.0	directional	51262148.0	20853330.0	4369198733.0	85513671.0	969045201.0	3085632185.0	47821629.0
UT_011_S11_L001_R1_001_val_1	70567115.0	4418955.0	75.0	14530722.0	42445602.0	208599622.0	8370300.0	84.65713538149514	1.5	1.4	80.5	0.0	0.0	directional	52171062.0	18395978.0	4313416887.0	83356370.0	961829113.0	3035428453.0	50583375.0
UT_012_S12_L001_R1_001_val_1	92148725.0	6606214.0	58.0	19127521.0	55349141.0	279335258.0	12314473.0	82.96498859650036	1.5	1.4	79.9	0.0	0.0	directional	68604459.0	23544208.0	5596961467.0	111069412.0	1255890041.0	3917112374.0	70147132.0
