Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
UT_001_S1_L001_R1_001_val_1	8779610.0	26146559.0	122715651.0	1.5	1.4	80.4	2618585683.0	577167930.0	1853883499.0	29892434.0
UT_002_S2_L001_R1_001_val_1	9946444.0	29209459.0	140909330.0	1.5	1.4	80.0	2939889513.0	654484670.0	2070076923.0	35262687.0
UT_003_S3_L001_R1_001_val_1	11609414.0	34147618.0	166037167.0	1.5	1.4	80.8	3459783335.0	770340407.0	2438164448.0	39484281.0
UT_004_S4_L001_R1_001_val_1	7753706.0	22623103.0	111032501.0	1.5	1.4	81.0	2295995121.0	511488645.0	1617118115.0	25979051.0
UT_005_S5_L001_R1_001_val_1	8903524.0	26284955.0	127208198.0	1.5	1.4	80.8	2680711675.0	594212918.0	1893888778.0	30213302.0
UT_006_S6_L001_R1_001_val_1	8638228.0	25512236.0	123227673.0	1.5	1.4	80.7	2600180839.0	576213090.0	1837086438.0	29503174.0
UT_007_S7_L001_R1_001_val_1	8600003.0	25352500.0	122133522.0	1.5	1.4	80.2	2583784133.0	573062787.0	1824568432.0	30066889.0
UT_008_S8_L001_R1_001_val_1	8743803.0	25401931.0	126253923.0	1.5	1.4	81.2	2597823575.0	580483816.0	1827782218.0	29157884.0
UT_009_S9_L001_R1_001_val_1	11130393.0	32748542.0	156839453.0	1.5	1.4	79.9	3240460275.0	721670678.0	2278734911.0	39336298.0
UT_010_S10_L001_R1_001_val_1	9858320.0	29155606.0	140946799.0	1.5	1.4	81.1	2969594847.0	657896745.0	2098984466.0	32752911.0
UT_011_S11_L001_R1_001_val_1	9868066.0	28887388.0	140361828.0	1.5	1.4	80.2	2929579106.0	652623201.0	2063289176.0	34549447.0
UT_012_S12_L001_R1_001_val_1	12673455.0	36778810.0	182808344.0	1.5	1.4	79.6	3705990259.0	830467659.0	2596413547.0	46848444.0
