Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
UT_001_S1_L001_R1_001	76783409	41637802	76783409	11594294759	17989941	10906819959	5.929423171395155
UT_001_S1_L001_R2_001	76783409	49665391	76783409	11594294759	37726248	10895371225	6.028167719795677
UT_002_S2_L001_R1_001	88602773	49017159	88602773	13379018723	48823887	12477604448	6.737521590057797
UT_002_S2_L001_R2_001	88602773	57980036	88602773	13379018723	47741939	12466164323	6.82302954274743
UT_003_S3_L001_R1_001	100523447	53920919	100523447	15179040497	24613429	14276194905	5.94797538209638
UT_003_S3_L001_R2_001	100523447	64592316	100523447	15179040497	47734626	14260171349	6.053539077002965
UT_004_S4_L001_R1_001	67040049	36456412	67040049	10123047399	18371603	9491766719	6.236073537128362
UT_004_S4_L001_R2_001	67040049	43367451	67040049	10123047399	36707479	9488227187	6.2710386208673725
UT_005_S5_L001_R1_001	76582693	40726045	76582693	11563986643	18139529	10913294947	5.626880383798105
UT_005_S5_L001_R2_001	76582693	48836326	76582693	11563986643	34026203	10904106067	5.7063415617091175
UT_006_S6_L001_R1_001	75784070	41241929	75784070	11443394570	18438822	10736353603	6.178594670270117
UT_006_S6_L001_R2_001	75784070	49028787	75784070	11443394570	45219747	10723656944	6.289546529199158
UT_007_S7_L001_R1_001	72892019	38747688	72892019	11006694869	16858101	10393192589	5.573901042064038
UT_007_S7_L001_R2_001	72892019	46527655	72892019	11006694869	38363186	10378231752	5.709825923947851
UT_008_S8_L001_R1_001	73005706	38735494	73005706	11023861606	17347182	10426731049	5.416709482954661
UT_008_S8_L001_R2_001	73005706	46336428	73005706	11023861606	32005224	10414153611	5.530802333985687
UT_009_S9_L001_R1_001	94310498	51446515	94310498	14240885198	24102387	13339792322	6.3275060747386
UT_009_S9_L001_R2_001	94310498	61370769	94310498	14240885198	43628665	13329376588	6.400645727612584
UT_010_S10_L001_R1_001	85680600	46273607	85680600	12937770600	21138778	12181756264	5.84346684891754
UT_010_S10_L001_R2_001	85680600	55213164	85680600	12937770600	39048449	12169222659	5.94034292894326
UT_011_S11_L001_R1_001	83555749	45437155	83555749	12616918099	19675071	11850866979	6.07161839356567
UT_011_S11_L001_R2_001	83555749	54156907	83555749	12616918099	41725649	11842612348	6.137043491321153
UT_012_S12_L001_R1_001	111366287	63531446	111366287	16816309337	32891143	15547331891	7.546111459831074
UT_012_S12_L001_R2_001	111366287	74659669	111366287	16816309337	59131994	15527098778	7.66642985190229
