Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
UT_001_S1_L001_R1_001	5.929423171395155											
UT_001_S1_L001_R1_001_val_1		80.4	1.5	1.4	2618585683.0	64080150.0	83.62706924636605	64.48286935112367	23.0	142.25405536177328	18.181818181818183	76626086.0
UT_001_S1_L001_R2_001	6.028167719795677											
UT_001_S1_L001_R2_001_val_2								64.48836057001077	23.0	142.34974003500582	18.181818181818183	76626086.0
UT_002_S2_L001_R1_001	6.737521590057797											
UT_002_S2_L001_R1_001_val_1		80.0	1.5	1.4	2939889513.0	72037517.0	81.53482003160002	65.50428993814485	23.0	141.1101587874046	18.181818181818183	88351844.0
UT_002_S2_L001_R2_001	6.82302954274743											
UT_002_S2_L001_R2_001_val_2								65.40831675413467	23.0	141.1947394782162	27.27272727272727	88351844.0
UT_003_S3_L001_R1_001	5.94797538209638											
UT_003_S3_L001_R1_001_val_1		80.8	1.5	1.4	3459783335.0	82906069.0	82.62158882400884	65.78931011334932	23.0	142.20421257140052	27.27272727272727	100344317.0
UT_003_S3_L001_R2_001	6.053539077002965											
UT_003_S3_L001_R2_001_val_2								66.34643437094293	23.0	142.30484008376877	27.27272727272727	100344317.0
UT_004_S4_L001_R1_001	6.236073537128362											
UT_004_S4_L001_R1_001_val_1		81.0	1.5	1.4	2295995121.0	55482935.0	82.96195567171077	63.22518372355514	23.0	141.8557579041007	18.181818181818183	66877564.0
UT_004_S4_L001_R2_001	6.2710386208673725											
UT_004_S4_L001_R2_001_val_2								63.6532078323622	23.0	141.97153888559697	18.181818181818183	66877564.0
UT_005_S5_L001_R1_001	5.626880383798105											
UT_005_S5_L001_R1_001_val_1		80.8	1.5	1.4	2680711675.0	63837349.0	83.52645462932347	64.36851214965154	23.0	142.72291537331472	27.27272727272727	76427701.0
UT_005_S5_L001_R2_001	5.7063415617091175											
UT_005_S5_L001_R2_001_val_2								64.78375394414957	23.0	142.82442125270785	27.27272727272727	76427701.0
UT_006_S6_L001_R1_001	6.178594670270117											
UT_006_S6_L001_R1_001_val_1		80.7	1.5	1.4	2600180839.0	63032906.0	83.38119649291812	63.80527287461845	23.0	141.90160283204148	18.181818181818183	75596068.0
UT_006_S6_L001_R2_001	6.289546529199158											
UT_006_S6_L001_R2_001_val_2								63.801108155530635	23.0	141.97619175113712	27.27272727272727	75596068.0
UT_007_S7_L001_R1_001	5.573901042064038											
UT_007_S7_L001_R1_001_val_1		80.2	1.5	1.4	2583784133.0	61408087.0	84.38691941389047	64.73410127746689	23.0	142.74478712458176	18.181818181818183	72769675.0
UT_007_S7_L001_R2_001	5.709825923947851											
UT_007_S7_L001_R2_001_val_2								64.95505994409497	23.0	142.82395569308233	27.27272727272727	72769675.0
UT_008_S8_L001_R1_001	5.416709482954661											
UT_008_S8_L001_R1_001_val_1		81.2	1.5	1.4	2597823575.0	61705146.0	84.64317113323118	63.82840456754767	23.0	142.96670835098072	27.27272727272727	72900324.0
UT_008_S8_L001_R2_001	5.530802333985687											
UT_008_S8_L001_R2_001_val_2								63.94556164946968	23.0	143.0693243420976	27.27272727272727	72900324.0
UT_009_S9_L001_R1_001	6.3275060747386											
UT_009_S9_L001_R1_001_val_1		79.9	1.5	1.4	3240460275.0	78363773.0	83.26918925025699	65.55671974971605	23.0	141.67847299480476	18.181818181818183	94108966.0
UT_009_S9_L001_R2_001	6.400645727612584											
UT_009_S9_L001_R2_001_val_2								65.72476235147796	23.0	141.77585884856072	18.181818181818183	94108966.0
UT_010_S10_L001_R1_001	5.84346684891754											
UT_010_S10_L001_R1_001_val_1		81.1	1.5	1.4	2969594847.0	72115516.0	84.33214848184917	63.71054183079242	23.0	142.38693128961802	18.181818181818183	85513671.0
UT_010_S10_L001_R2_001	5.94034292894326											
UT_010_S10_L001_R2_001_val_2								63.972197175957454	23.0	142.46242266923613	18.181818181818183	85513671.0
UT_011_S11_L001_R1_001	6.07161839356567											
UT_011_S11_L001_R1_001_val_1		80.2	1.5	1.4	2929579106.0	70567115.0	84.65713538149514	65.39509892224152	23.0	142.0749993311849	18.181818181818183	83356370.0
UT_011_S11_L001_R2_001	6.137043491321153											
UT_011_S11_L001_R2_001_val_2								65.12060002024822	23.0	142.1785990800703	27.27272727272727	83356370.0
UT_012_S12_L001_R1_001	7.546111459831074											
UT_012_S12_L001_R1_001_val_1		79.6	1.5	1.4	3705990259.0	92148725.0	82.96498859650036	65.08262745094571	24.0	139.8627503042872	18.181818181818183	111069412.0
UT_012_S12_L001_R2_001	7.66642985190229											
UT_012_S12_L001_R2_001_val_2								65.4287553455331	24.0	139.9259767666727	27.27272727272727	111069412.0
