Module	Section	Sample Name	Source
Bismark	alignment	UT_004_S4_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_004_S4_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	UT_003_S3_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_003_S3_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	UT_012_S12_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_012_S12_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	UT_009_S9_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_009_S9_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	UT_001_S1_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_001_S1_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	UT_007_S7_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_007_S7_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	UT_008_S8_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_008_S8_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	UT_006_S6_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_006_S6_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	UT_005_S5_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_005_S5_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	UT_002_S2_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_002_S2_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	UT_011_S11_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_011_S11_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	UT_010_S10_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_010_S10_L001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	methylation_extraction	UT_001_S1_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_001_S1_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	UT_002_S2_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_002_S2_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	UT_003_S3_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_003_S3_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	UT_004_S4_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_004_S4_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	UT_011_S11_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_011_S11_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	UT_012_S12_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_012_S12_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	UT_007_S7_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_007_S7_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	UT_005_S5_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_005_S5_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	UT_008_S8_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_008_S8_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
